'not' count: 82 || Zipfian prediction: 82 || Zipfian accuracy: 1
'i' count: 71 || Zipfian prediction: 75 || Zipfian accuracy: 0.946667
'them' count: 58 || Zipfian prediction: 48 || Zipfian accuracy: 0.827586
'a' count: 56 || Zipfian prediction: 35 || Zipfian accuracy: 0.625
'like' count: 44 || Zipfian prediction: 28 || Zipfian accuracy: 0.636364
'in' count: 40 || Zipfian prediction: 23 || Zipfian accuracy: 0.575
'do' count: 37 || Zipfian prediction: 19 || Zipfian accuracy: 0.513514
'you' count: 34 || Zipfian prediction: 17 || Zipfian accuracy: 0.5
'and' count: 27 || Zipfian prediction: 15 || Zipfian accuracy: 0.555556
'would' count: 27 || Zipfian prediction: 13 || Zipfian accuracy: 0.481481
'eat' count: 23 || Zipfian prediction: 12 || Zipfian accuracy: 0.521739
'with' count: 18 || Zipfian prediction: 11 || Zipfian accuracy: 0.611111
'will' count: 18 || Zipfian prediction: 10 || Zipfian accuracy: 0.555556
'could' count: 14 || Zipfian prediction: 9 || Zipfian accuracy: 0.642857
'ham' count: 12 || Zipfian prediction: 9 || Zipfian accuracy: 0.75
'eggs' count: 12 || Zipfian prediction: 8 || Zipfian accuracy: 0.666667
'here' count: 11 || Zipfian prediction: 8 || Zipfian accuracy: 0.727273
'sam-i-am' count: 11 || Zipfian prediction: 7 || Zipfian accuracy: 0.636364
'the' count: 11 || Zipfian prediction: 7 || Zipfian accuracy: 0.636364
'green' count: 11 || Zipfian prediction: 6 || Zipfian accuracy: 0.545455
'there' count: 9 || Zipfian prediction: 6 || Zipfian accuracy: 0.666667
'house' count: 8 || Zipfian prediction: 6 || Zipfian accuracy: 0.75
'anywhere' count: 8 || Zipfian prediction: 6 || Zipfian accuracy: 0.75
'train' count: 8 || Zipfian prediction: 5 || Zipfian accuracy: 0.625
'or' count: 8 || Zipfian prediction: 5 || Zipfian accuracy: 0.625
'fox' count: 7 || Zipfian prediction: 5 || Zipfian accuracy: 0.714286
'box' count: 7 || Zipfian prediction: 5 || Zipfian accuracy: 0.714286
'sam' count: 7 || Zipfian prediction: 5 || Zipfian accuracy: 0.714286
'dark' count: 7 || Zipfian prediction: 4 || Zipfian accuracy: 0.571429
'car' count: 7 || Zipfian prediction: 4 || Zipfian accuracy: 0.571429
'mouse' count: 7 || Zipfian prediction: 4 || Zipfian accuracy: 0.571429
'tree' count: 6 || Zipfian prediction: 4 || Zipfian accuracy: 0.666667
'on' count: 6 || Zipfian prediction: 4 || Zipfian accuracy: 0.666667
'so' count: 5 || Zipfian prediction: 4 || Zipfian accuracy: 0.8
'say' count: 5 || Zipfian prediction: 4 || Zipfian accuracy: 0.8
'rain' count: 4 || Zipfian prediction: 4 || Zipfian accuracy: 1
'be' count: 4 || Zipfian prediction: 4 || Zipfian accuracy: 1
'try' count: 4 || Zipfian prediction: 3 || Zipfian accuracy: 0.75
'me' count: 4 || Zipfian prediction: 3 || Zipfian accuracy: 0.75
'let' count: 4 || Zipfian prediction: 3 || Zipfian accuracy: 0.75
'may' count: 4 || Zipfian prediction: 3 || Zipfian accuracy: 0.75
'see' count: 4 || Zipfian prediction: 3 || Zipfian accuracy: 0.75
'am' count: 4 || Zipfian prediction: 3 || Zipfian accuracy: 0.75
'goat' count: 4 || Zipfian prediction: 3 || Zipfian accuracy: 0.75
'boat' count: 3 || Zipfian prediction: 3 || Zipfian accuracy: 1
'that' count: 3 || Zipfian prediction: 3 || Zipfian accuracy: 1
'are' count: 2 || Zipfian prediction: 3 || Zipfian accuracy: 0.666667
'thank' count: 2 || Zipfian prediction: 3 || Zipfian accuracy: 0.666667
'they' count: 2 || Zipfian prediction: 3 || Zipfian accuracy: 0.666667
'good' count: 2 || Zipfian prediction: 3 || Zipfian accuracy: 0.666667
'them,sam-i-am' count: 1 || Zipfian prediction: 3 || Zipfian accuracy: 0.333333
'then' count: 1 || Zipfian prediction: 3 || Zipfian accuracy: 0.333333
'seuss' count: 1 || Zipfian prediction: 3 || Zipfian accuracy: 0.333333
'greem' count: 1 || Zipfian prediction: 2 || Zipfian accuracy: 0.5
'if' count: 1 || Zipfian prediction: 2 || Zipfian accuracy: 0.5
'tries' count: 1 || Zipfian prediction: 2 || Zipfian accuracy: 0.5
'he' count: 1 || Zipfian prediction: 2 || Zipfian accuracy: 0.5
'doctor' count: 1 || Zipfian prediction: 2 || Zipfian accuracy: 0.5
'by' count: 1 || Zipfian prediction: 2 || Zipfian accuracy: 0.5
